,timestamp,generation_biomass,generation_fossil_brown_coal_lignite,generation_fossil_coal_derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_aggregated,generation_hydro_pumped_storage_consumption,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_offshore_eday_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
33601,2018-11-01 01:00:00+01:00,272.0,217.0,0.0,3597.0,3733.0,281.0,0.0,0.0,0.0,0.0,3199.0,1078.0,1053.0,0.0,6077.0,52.0,90.0,18.0,315.0,0.0,13660.0,13,,13537,26735,26646.0,36.3,72.07
23206,2017-08-24 23:00:00+02:00,400.0,607.0,0.0,8053.0,4450.0,346.0,0.0,0.0,0.0,0.0,0.0,508.0,1357.0,0.0,6838.0,54.0,91.0,399.0,326.0,0.0,3910.0,326,,4018,31064,30449.0,51.49,58.08
19513,2017-03-24 01:00:00+01:00,258.0,273.0,0.0,5513.0,2338.0,309.0,0.0,0.0,0.0,0.0,101.0,1121.0,3027.0,0.0,7109.0,59.0,99.0,131.0,293.0,0.0,2197.0,65,,2298,25387,25344.0,52.15,57.78
27019,2018-01-30 19:00:00+01:00,390.0,952.0,0.0,9338.0,4985.0,335.0,0.0,0.0,0.0,0.0,0.0,1226.0,5316.0,0.0,7112.0,62.0,91.0,26.0,301.0,0.0,2684.0,130,,2716,36858,36846.0,60.07,67.82
4089,2015-06-20 10:00:00+02:00,478.0,636.0,0.0,4296.0,5568.0,261.0,0.0,0.0,0.0,0.0,0.0,820.0,1920.0,0.0,5015.0,86.0,69.0,4547.0,275.0,0.0,4111.0,4478,,4212,28447,28574.0,53.05,62.42
8802,2016-01-02 18:00:00+01:00,520.0,772.0,0.0,5522.0,6415.0,420.0,0.0,0.0,0.0,0.0,0.0,1055.0,6860.0,0.0,6096.0,90.0,81.0,746.0,240.0,0.0,1478.0,792,,1547,32974,32515.0,50.24,56.59
12982,2016-06-24 23:00:00+02:00,346.0,0.0,0.0,4797.0,2146.0,324.0,0.0,0.0,0.0,0.0,40.0,1090.0,1837.0,0.0,6977.0,58.0,91.0,616.0,287.0,0.0,6707.0,651,,6626,27434,27358.0,35.0,43.56
4115,2015-06-21 12:00:00+02:00,456.0,646.0,0.0,4116.0,6331.0,254.0,0.0,0.0,0.0,0.0,194.0,805.0,2167.0,0.0,5096.0,82.0,66.0,4859.0,275.0,0.0,2136.0,5164,,2116,26484,25989.0,52.1,63.33
3230,2015-05-15 15:00:00+02:00,563.0,0.0,0.0,3694.0,2605.0,401.0,0.0,0.0,0.0,0.0,68.0,958.0,2017.0,0.0,5057.0,84.0,80.0,5256.0,177.0,0.0,9292.0,5165,,9315,29998,29511.0,45.13,57.11
34492,2018-12-08 04:00:00+01:00,332.0,590.0,0.0,4606.0,3374.0,237.0,0.0,0.0,0.0,0.0,0.0,834.0,840.0,0.0,6951.0,56.0,96.0,201.0,312.0,0.0,2714.0,343,,3066,22151,22650.0,63.9,52.56
7462,2015-11-07 22:00:00+01:00,512.0,955.0,0.0,6028.0,7141.0,311.0,0.0,0.0,0.0,0.0,0.0,605.0,2374.0,0.0,6053.0,87.0,69.0,883.0,274.0,0.0,5052.0,767,,5090,30644,30602.0,63.6,64.12
21452,2017-06-12 21:00:00+02:00,360.0,976.0,0.0,15269.0,6907.0,334.0,0.0,0.0,0.0,0.0,0.0,587.0,1341.0,0.0,6109.0,58.0,104.0,38.0,308.0,0.0,3038.0,10,,3014,34374,34465.0,77.71,59.35
6522,2015-09-29 19:00:00+02:00,508.0,892.0,0.0,5412.0,6834.0,434.0,0.0,0.0,0.0,0.0,0.0,548.0,3076.0,0.0,6003.0,82.0,65.0,430.0,228.0,0.0,4547.0,702,,4492,29720,29769.0,54.07,62.06
1566,2015-03-07 06:00:00+01:00,474.0,928.0,0.0,4856.0,7211.0,374.0,0.0,0.0,0.0,0.0,1263.0,710.0,1672.0,0.0,6001.0,87.0,68.0,407.0,216.0,0.0,4548.0,390,,4638,26312,26479.0,60.1,48.03
1779,2015-03-16 03:00:00+01:00,497.0,0.0,0.0,4056.0,4101.0,264.0,0.0,0.0,0.0,0.0,1717.0,1326.0,2160.0,0.0,6989.0,84.0,63.0,155.0,158.0,0.0,3072.0,159,,3155,21564,21579.0,40.07,51.98
11135,2016-04-09 00:00:00+02:00,384.0,660.0,0.0,5422.0,5695.0,243.0,0.0,0.0,0.0,0.0,0.0,643.0,1990.0,0.0,6948.0,57.0,85.0,270.0,318.0,0.0,3026.0,274,,3128,27249,27229.0,43.35,26.64
29518,2018-05-14 23:00:00+02:00,227.0,0.0,0.0,4817.0,1809.0,304.0,0.0,0.0,0.0,0.0,227.0,1590.0,1997.0,0.0,5878.0,57.0,106.0,542.0,186.0,0.0,7832.0,502,,7190,26768,26959.0,51.84,59.23
11784,2016-05-06 01:00:00+02:00,326.0,0.0,0.0,5067.0,1877.0,211.0,0.0,0.0,0.0,0.0,735.0,1335.0,2376.0,0.0,6065.0,58.0,87.0,707.0,250.0,0.0,1694.0,630,,1708,22473,22482.0,40.24,41.38
14283,2016-08-18 04:00:00+02:00,381.0,639.0,0.0,4649.0,4554.0,302.0,0.0,0.0,0.0,0.0,231.0,717.0,832.0,0.0,6945.0,56.0,73.0,382.0,309.0,0.0,3845.0,305,,3930,23128,23313.0,37.92,43.47
24452,2017-10-15 21:00:00+02:00,360.0,401.0,0.0,4194.0,4022.0,206.0,0.0,0.0,0.0,0.0,212.0,363.0,977.0,0.0,5907.0,55.0,88.0,284.0,319.0,0.0,9033.0,219,,8926,28417,27825.0,61.84,69.15
19676,2017-03-30 21:00:00+02:00,238.0,535.0,0.0,4741.0,2564.0,323.0,0.0,0.0,0.0,0.0,0.0,1239.0,2852.0,0.0,7097.0,52.0,99.0,446.0,265.0,0.0,8876.0,324,,8787,32997,32701.0,48.26,56.72
6745,2015-10-09 02:00:00+02:00,539.0,935.0,0.0,4931.0,7230.0,379.0,0.0,0.0,0.0,0.0,386.0,533.0,585.0,0.0,6894.0,82.0,70.0,76.0,224.0,0.0,2063.0,76,,2053,23501,23058.0,55.0,53.99
6842,2015-10-13 03:00:00+02:00,526.0,40.0,0.0,3768.0,2739.0,226.0,0.0,0.0,0.0,0.0,2504.0,568.0,314.0,0.0,5940.0,88.0,68.0,47.0,231.0,0.0,7044.0,12,,7204,20221,20080.0,36.5,46.56
28019,2018-03-13 11:00:00+01:00,290.0,0.0,0.0,5518.0,1303.0,349.0,0.0,0.0,0.0,0.0,0.0,1749.0,7837.0,0.0,6074.0,59.0,105.0,2152.0,297.0,0.0,7986.0,1833,,7960,35068,35531.0,55.0,62.69
12852,2016-06-19 13:00:00+02:00,336.0,0.0,0.0,3596.0,879.0,241.0,0.0,0.0,0.0,0.0,704.0,1142.0,2048.0,0.0,6763.0,59.0,80.0,5418.0,241.0,0.0,4973.0,5546,,5036,25555,25498.0,37.0,45.18
27275,2018-02-10 11:00:00+01:00,339.0,435.0,0.0,4368.0,3746.0,322.0,0.0,0.0,0.0,0.0,390.0,514.0,1056.0,0.0,7039.0,58.0,101.0,4492.0,284.0,0.0,8541.0,4153,,8064,31830,31825.0,70.47,57.9
28524,2018-04-03 13:00:00+02:00,370.0,0.0,0.0,3521.0,1805.0,248.0,0.0,0.0,0.0,0.0,585.0,1456.0,3191.0,0.0,6081.0,53.0,106.0,2520.0,305.0,0.0,6586.0,2237,,6147,28357,28502.0,49.29,43.8
10366,2016-03-07 22:00:00+01:00,324.0,0.0,0.0,4654.0,3945.0,219.0,0.0,0.0,0.0,0.0,1.0,1002.0,2633.0,0.0,6963.0,49.0,87.0,699.0,277.0,0.0,8399.0,623,,8337,29438,29532.0,47.46,35.73
17116,2016-12-14 04:00:00+01:00,310.0,886.0,0.0,5107.0,6445.0,302.0,0.0,0.0,0.0,0.0,1064.0,498.0,329.0,0.0,5060.0,56.0,94.0,21.0,287.0,0.0,5554.0,1,,5475,23663,23665.0,45.52,53.04
32315,2018-09-08 12:00:00+02:00,348.0,586.0,0.0,6254.0,5054.0,302.0,0.0,0.0,0.0,0.0,0.0,982.0,2975.0,0.0,6934.0,55.0,100.0,5223.0,313.0,0.0,4110.0,4951,,4202,34934,35351.0,65.67,76.5
14157,2016-08-12 22:00:00+02:00,354.0,633.0,0.0,4800.0,5857.0,301.0,0.0,0.0,0.0,0.0,58.0,610.0,1070.0,0.0,5060.0,50.0,81.0,36.0,343.0,0.0,6099.0,9,,6052,29455,29383.0,55.95,51.76
32459,2018-09-14 12:00:00+02:00,343.0,511.0,0.0,8914.0,5978.0,345.0,0.0,0.0,0.0,0.0,0.0,832.0,3583.0,0.0,6964.0,63.0,108.0,3689.0,310.0,0.0,1405.0,3619,,1681,34978,35271.0,77.07,84.66
21184,2017-06-01 17:00:00+02:00,359.0,564.0,0.0,6632.0,5964.0,267.0,0.0,0.0,0.0,0.0,753.0,543.0,2095.0,0.0,7098.0,58.0,103.0,1246.0,322.0,0.0,2851.0,1076,,2852,24732,24628.0,70.55,61.46
29435,2018-05-11 12:00:00+02:00,298.0,509.0,0.0,8600.0,5591.0,310.0,0.0,0.0,0.0,0.0,1.0,1076.0,2391.0,0.0,6015.0,60.0,89.0,1157.0,310.0,0.0,8470.0,1861,,8381,34049,34151.0,66.07,65.46
27640,2018-02-25 16:00:00+01:00,391.0,288.0,0.0,4348.0,5182.0,221.0,0.0,0.0,0.0,0.0,1779.0,1063.0,1212.0,0.0,6654.0,53.0,99.0,4008.0,325.0,0.0,2793.0,2948,,1982,27104,26445.0,51.26,57.32
1111,2015-02-16 07:00:00+01:00,454.0,409.0,0.0,4900.0,3988.0,324.0,0.0,0.0,0.0,0.0,67.0,1301.0,4013.0,0.0,7104.0,84.0,60.0,39.0,209.0,0.0,7298.0,58,,7363,30616,30434.0,53.42,65.03
30584,2018-06-28 09:00:00+02:00,364.0,663.0,0.0,8801.0,3508.0,285.0,0.0,0.0,0.0,0.0,0.0,1386.0,4444.0,0.0,5947.0,56.0,94.0,1759.0,311.0,0.0,1997.0,2018,,1790,33108,33287.0,63.17,69.51
30411,2018-06-21 04:00:00+02:00,348.0,507.0,0.0,5066.0,2367.0,288.0,0.0,0.0,0.0,0.0,54.0,1466.0,2830.0,0.0,5046.0,52.0,102.0,491.0,282.0,0.0,3226.0,389,,4130,24372,24604.0,59.67,63.72
20456,2017-05-02 09:00:00+02:00,314.0,0.0,0.0,3813.0,1385.0,142.0,0.0,0.0,0.0,0.0,3978.0,1277.0,1872.0,0.0,6815.0,57.0,67.0,662.0,272.0,0.0,13060.0,803,,13221,24781,24867.0,20.1,60.44
6882,2015-10-14 19:00:00+02:00,562.0,274.0,0.0,5342.0,6477.0,414.0,0.0,0.0,0.0,0.0,0.0,576.0,3603.0,0.0,5963.0,90.0,71.0,849.0,214.0,0.0,6360.0,753,,6252,29507,29634.0,59.02,69.02
11291,2016-04-15 12:00:00+02:00,207.0,0.0,0.0,3166.0,1159.0,289.0,0.0,0.0,0.0,0.0,600.0,1921.0,5714.0,0.0,7094.0,50.0,82.0,3771.0,226.0,0.0,6553.0,3620,,6312,32902,32760.0,28.0,35.19
34241,2018-11-27 17:00:00+01:00,363.0,0.0,0.0,10813.0,6209.0,304.0,0.0,0.0,0.0,0.0,1.0,1328.0,3156.0,0.0,5026.0,57.0,97.0,854.0,274.0,0.0,6305.0,509,,6042,33900,33465.0,68.74,73.9
31878,2018-08-21 07:00:00+02:00,382.0,0.0,0.0,7054.0,5367.0,291.0,0.0,0.0,0.0,0.0,0.0,763.0,2995.0,0.0,6981.0,56.0,92.0,76.0,297.0,0.0,3237.0,182,,3555,26456,26896.0,67.42,71.17
33509,2018-10-28 05:00:00+01:00,331.0,0.0,0.0,4033.0,1876.0,238.0,0.0,0.0,0.0,0.0,3294.0,635.0,753.0,0.0,7023.0,58.0,95.0,4.0,311.0,0.0,8737.0,17,,8629,19759,19590.0,44.79,51.77
18483,2017-02-09 03:00:00+01:00,372.0,579.0,0.0,4240.0,1366.0,325.0,0.0,0.0,0.0,0.0,1492.0,409.0,325.0,0.0,6849.0,51.0,102.0,309.0,335.0,0.0,6634.0,271,,6710,23117,23368.0,35.6,50.27
4584,2015-07-11 01:00:00+02:00,584.0,0.0,0.0,4250.0,5664.0,328.0,0.0,0.0,0.0,0.0,621.0,643.0,706.0,0.0,5043.0,72.0,72.0,84.0,274.0,0.0,4416.0,31,,4409,23139,23011.0,46.66,59.26
15924,2016-10-25 13:00:00+02:00,320.0,891.0,0.0,8987.0,5879.0,307.0,0.0,0.0,0.0,0.0,0.0,576.0,3923.0,0.0,6994.0,54.0,81.0,1574.0,305.0,0.0,2645.0,1928,,2452,32280,32244.0,63.28,70.46
13297,2016-07-08 02:00:00+02:00,337.0,0.0,0.0,4141.0,1420.0,232.0,0.0,0.0,0.0,0.0,2302.0,626.0,967.0,0.0,6649.0,56.0,79.0,624.0,309.0,0.0,8298.0,618,,8156,23062,22932.0,28.39,47.67
9406,2016-01-27 22:00:00+01:00,495.0,801.0,0.0,5913.0,5118.0,414.0,0.0,0.0,0.0,0.0,0.0,1038.0,4507.0,0.0,6095.0,82.0,76.0,26.0,265.0,0.0,4771.0,10,,4825,32723,32572.0,45.1,52.2
29875,2018-05-29 20:00:00+02:00,344.0,441.0,0.0,7294.0,5342.0,313.0,0.0,0.0,0.0,0.0,0.0,1647.0,3750.0,0.0,4054.0,58.0,91.0,551.0,261.0,0.0,2720.0,825,,2570,29767,29961.0,66.0,71.43
21719,2017-06-24 00:00:00+02:00,339.0,841.0,0.0,6154.0,6488.0,317.0,0.0,0.0,0.0,0.0,0.0,767.0,856.0,0.0,6006.0,52.0,97.0,675.0,280.0,0.0,4618.0,626,,4544,29542,29245.0,56.75,60.78
26601,2018-01-13 09:00:00+01:00,357.0,561.0,0.0,6739.0,5617.0,281.0,0.0,0.0,0.0,0.0,1.0,1047.0,1844.0,0.0,6079.0,47.0,102.0,212.0,334.0,0.0,3871.0,319,,3794,31695,31034.0,58.16,62.3
9922,2016-02-18 10:00:00+01:00,525.0,318.0,0.0,7366.0,5199.0,368.0,0.0,0.0,0.0,0.0,0.0,1244.0,9081.0,0.0,6030.0,96.0,72.0,976.0,174.0,0.0,2471.0,1341,,2518,36944,36740.0,46.0,59.11
14469,2016-08-25 22:00:00+02:00,399.0,880.0,0.0,5218.0,5231.0,324.0,0.0,0.0,0.0,0.0,0.0,729.0,3164.0,0.0,6976.0,55.0,84.0,555.0,270.0,0.0,6493.0,429,,6503,32527,31920.0,43.6,51.12
31215,2018-07-24 16:00:00+02:00,387.0,664.0,0.0,7221.0,5391.0,310.0,0.0,0.0,0.0,0.0,0.0,1119.0,5509.0,0.0,6128.0,68.0,92.0,5148.0,299.0,0.0,1517.0,5102,,2075,36098,35906.0,67.01,74.66
1945,2015-03-23 01:00:00+01:00,451.0,0.0,0.0,4783.0,2720.0,280.0,0.0,0.0,0.0,0.0,657.0,1191.0,2175.0,0.0,7097.0,42.0,59.0,58.0,155.0,0.0,4082.0,2,,4218,22985,23034.0,47.75,60.1
6663,2015-10-05 16:00:00+02:00,412.0,0.0,0.0,3659.0,2360.0,258.0,0.0,0.0,0.0,0.0,1113.0,1072.0,3576.0,0.0,5020.0,81.0,69.0,4970.0,153.0,0.0,4912.0,4574,,4927,24328,23720.0,35.1,51.05
24045,2017-09-28 22:00:00+02:00,329.0,895.0,0.0,10457.0,5064.0,344.0,0.0,0.0,0.0,0.0,28.0,391.0,841.0,0.0,5957.0,56.0,100.0,60.0,279.0,0.0,3883.0,189,,3890,29985,29651.0,52.94,59.73
9918,2016-02-18 06:00:00+01:00,511.0,200.0,0.0,4188.0,4563.0,310.0,0.0,0.0,0.0,0.0,1289.0,1156.0,5491.0,0.0,6027.0,93.0,75.0,23.0,156.0,0.0,3980.0,2,,4180,27879,27698.0,31.92,39.57
21911,2017-07-02 00:00:00+02:00,356.0,779.0,0.0,3587.0,4129.0,304.0,0.0,0.0,0.0,0.0,710.0,1391.0,1356.0,0.0,7103.0,57.0,89.0,33.0,298.0,0.0,10261.0,10,,10228,27456,27107.0,49.41,54.78
21437,2017-06-12 06:00:00+02:00,362.0,983.0,0.0,9908.0,6293.0,325.0,0.0,0.0,0.0,0.0,246.0,445.0,2052.0,0.0,6050.0,55.0,101.0,29.0,308.0,0.0,2220.0,21,,2270,25113,25785.0,74.04,47.4
20619,2017-05-09 04:00:00+02:00,394.0,616.0,0.0,6401.0,3894.0,312.0,0.0,0.0,0.0,0.0,0.0,450.0,579.0,0.0,6839.0,54.0,92.0,479.0,349.0,0.0,1324.0,431,,1393,23793,24286.0,49.35,53.02
6089,2015-09-11 18:00:00+02:00,562.0,922.0,0.0,7091.0,7647.0,407.0,0.0,0.0,0.0,0.0,1.0,815.0,5303.0,0.0,5038.0,87.0,70.0,624.0,256.0,0.0,921.0,567,,838,31401,31207.0,65.0,56.76
27089,2018-02-02 17:00:00+01:00,380.0,268.0,0.0,5889.0,3100.0,334.0,0.0,0.0,0.0,0.0,149.0,1013.0,926.0,0.0,7106.0,70.0,101.0,2012.0,298.0,0.0,11093.0,1767,,11197,34699,34723.0,51.37,58.31
3549,2015-05-28 22:00:00+02:00,565.0,948.0,0.0,4523.0,5127.0,399.0,0.0,0.0,0.0,0.0,0.0,848.0,3089.0,0.0,5032.0,86.0,74.0,726.0,204.0,0.0,7317.0,657,,7196,30076,30169.0,54.98,67.22
7272,2015-10-31 00:00:00+01:00,500.0,0.0,0.0,3985.0,4016.0,272.0,0.0,0.0,0.0,0.0,1479.0,694.0,671.0,0.0,5040.0,77.0,74.0,61.0,263.0,0.0,9018.0,33,,9023,24597,24537.0,36.1,46.95
33214,2018-10-15 23:00:00+02:00,306.0,588.0,0.0,7709.0,5411.0,341.0,0.0,0.0,0.0,0.0,0.0,739.0,1728.0,0.0,7054.0,60.0,101.0,4.0,289.0,0.0,1302.0,117,,2093,25970,26287.0,69.39,73.76
